국가,도시,테마,추천이유,추천일정,예상항공료,숙박비,식비,총예상경비
일본,오사카,힐링,도심 속 온천과 쇼핑을 함께 즐길 수 있어 힐링에 적합,3일,300000,140000,90000,530000
대만,타이베이,먹방,야시장과 온천이 가까워 짧은 일정에 최적화,3일,350000,120000,75000,545000
베트남,하노이,문화,호안끼엠 호수 산책과 전통 카페 문화 체험에 적합,3일,400000,100000,60000,560000
태국,치앙마이,힐링,마사지와 사원 투어로 내면의 평안을 찾을 수 있음,3일,450000,100000,75000,625000
말레이시아,쿠알라룸푸르,먹방,다양한 민족 음식과 야시장을 즐기기 적합,3일,450000,120000,75000,645000
싱가포르,싱가포르,문화,도심 속 정원과 박물관이 어우러진 컴팩트한 도시,3일,500000,200000,120000,820000
홍콩,홍콩,액티비티,"피크트램, 쇼핑 등 도시형 체험이 집중된 여행지",3일,400000,160000,105000,665000
인도네시아,자카르타,문화,역사 유적과 현대 건축이 공존하는 동남아 중심 도시,3일,500000,120000,75000,695000
필리핀,마닐라,힐링,도심 속 힐링 스팟과 쇼핑몰이 밀집해 짧은 여행에 적합,3일,400000,120000,75000,595000
터키,이스탄불,문화,유럽과 아시아가 만나는 도시로 문화 체험에 적합,3일,900000,140000,90000,1130000
베트남,다낭,힐링,해변과 마블마운틴 등 액티비티와 휴양이 조화로움,5일,400000,200000,100000,700000
필리핀,보라카이,먹방,맑은 바다와 해변에서 휴양과 먹방을 동시에 즐길 수 있음,5일,400000,240000,125000,765000
일본,교토,문화,전통 사찰과 정원이 어우러진 고즈넉한 도시,5일,300000,280000,150000,730000
태국,방콕,먹방,로컬 푸드와 시장 탐방에 특화된 도시,5일,450000,200000,125000,775000
인도네시아,발리,힐링,해변 리조트와 요가센터가 있는 대표 힐링 여행지,5일,500000,240000,125000,865000
대만,가오슝,힐링,예술마을과 강변 산책로가 감성 힐링에 적합,5일,350000,240000,125000,715000
말레이시아,조호르바루,문화,싱가포르와 가까운 동남아 근교 문화 도시,5일,450000,240000,125000,815000
싱가포르,센토사,액티비티,리조트 월드와 유니버셜 등 가족 액티비티 중심,5일,500000,400000,200000,1100000
베트남,호치민,문화,프랑스풍 건축과 카페 거리로 문화적 만족도 높음,5일,400000,200000,100000,700000
터키,카파도키아,액티비티,열기구 체험과 자연 암석 지형으로 이색 액티비티 제공,5일,900000,280000,150000,1330000
미국,뉴욕,문화,"도시 탐방, 뮤지컬, 미술관 등 문화 콘텐츠가 풍부함",7일,1400000,1200000,350000,2950000
스페인,바르셀로나,힐링,가우디 건축물과 지중해 풍경으로 힐링과 문화체험 모두 가능,7일,1200000,900000,280000,2380000
캐나다,퀘벡시티,문화,유럽풍 거리에서 여유로운 문화생활 가능,7일,1300000,900000,280000,2480000
필리핀,세부,액티비티,해양 스포츠와 로컬 푸드가 풍부해 다양한 액티비티 가능,7일,400000,360000,175000,935000
이탈리아,시칠리아,힐링,"자연과 역사, 와인 문화가 공존하는 힐링 여행지",7일,1200000,780000,280000,2260000
터키,안탈리아,힐링,지중해 해안 풍경 속에서 여유롭게 즐기는 장기 여행지,7일,900000,420000,210000,1530000
프랑스,파리,문화,"미술관과 건축, 맛있는 빵과 와인으로 감성 여행에 적합",7일,1200000,900000,280000,2380000
미국,샌프란시스코,힐링,해변 도시와 자연 공원이 어우러져 다양한 체험이 가능,7일,1400000,1200000,350000,2950000
베트남,푸꾸옥,힐링,조용한 해변과 리조트 중심의 완전한 휴양형 여행지,7일,400000,300000,140000,840000
대만,화롄,자연,타이루거 협곡과 산악 자연에서의 힐링 트레킹,7일,350000,360000,175000,885000
캐나다,몬트리올,문화,생활비가 비교적 저렴하고 문화행사가 많아 장기 거주에 적합,한달살기,1300000,4350000,1200000,6850000
터키,안탈리아,힐링,지중해 해안도시에서 저렴한 물가와 힐링을 함께 즐길 수 있음,한달살기,900000,2030000,900000,3830000
이탈리아,토스카나,힐링,"자연과 와인, 고요한 시골 마을에서 장기 휴식 가능",한달살기,1200000,3770000,1200000,6170000
프랑스,리옹,먹방,"미식과 예술, 한적한 분위기로 장기 체류에 이상적",한달살기,1200000,4350000,1200000,6750000
미국,포틀랜드,힐링,자연 친화적이고 커뮤니티 문화가 강해 장기 거주에 적합,한달살기,1400000,5800000,1500000,8700000
포르투갈,리스본,문화,온화한 기후와 저렴한 생활비로 디지털 노마드에 인기,한달살기,1200000,2900000,1050000,5150000
체코,프라하,문화,중세 도시의 매력을 장기적으로 음미할 수 있는 도시,한달살기,1000000,2900000,900000,4800000
베트남,다낭,힐링,도시와 해변이 가까워 다양한 생활이 가능한 거주지,한달살기,400000,1450000,600000,2450000
태국,치앙마이,힐링,저렴한 물가와 디지털 노마드 커뮤니티로 인기 높은 도시,한달살기,450000,1450000,750000,2650000
조지아,트빌리시,문화,저렴한 물가와 유럽-아시아 중간의 이색 문화가 특징,한달살기,900000,1740000,600000,3240000
