차종,모델명,연식,가격대,평균가
경차,레이,2025,1180~1900만원,1540
경차,레이,2025,1180~1900만원,1540
경차,레이,2022,800~1570만원,1185
경차,레이,2022,800~1570만원,1185
경차,레이,2017,680~1190만원,935
경차,레이,2017,680~1190만원,935
경차,캐스퍼,2025,1320~2170만원,1745
경차,캐스퍼,2025,1320~2170만원,1745
경차,캐스퍼,2024,1440~1960만원,1700
경차,캐스퍼,2024,1440~1960만원,1700
경차,모닝,2025,1130~1800만원,1465
경차,모닝,2025,1130~1800만원,1465
경차,모닝,2023,1250~1300만원,1275
경차,모닝,2023,1250~1300만원,1275
경차,모닝,2020,990~1070만원,1030
경차,모닝,2020,990~1070만원,1030
세단,기아 K3,2024,2040~2170만원,2105
세단,기아 K3,2024,2040~2170만원,2105
세단,기아 K3,2024,2000~2300만원,2150
세단,기아 K3,2024,2000~2300만원,2150
세단,기아 K3,2021,1150~1750만원,1450
세단,기아 K3,2021,1150~1750만원,1450
세단,현대 쏘나타,2025,2320~3750만원,3035
세단,현대 쏘나타,2025,2320~3750만원,3035
세단,현대 쏘나타,2023,2240~2550만원,2395
세단,현대 쏘나타,2023,2240~2550만원,2395
세단,현대 쏘나타,2019,1380~1860만원,1620
세단,현대 쏘나타,2019,1380~1860만원,1620
세단,현대 아반떼,2025,2370~2730만원,2550
세단,현대 아반떼,2025,2370~2730만원,2550
세단,현대 아반떼,2023,1680~2370만원,2025
세단,현대 아반떼,2023,1680~2370만원,2025
세단,현대 아반떼,2020,1010~1620만원,1315
세단,현대 아반떼,2020,1010~1620만원,1315
소형 SUV,기아 셀토스,2025,2520~3130만원,2825
소형 SUV,기아 셀토스,2025,2520~3130만원,2825
소형 SUV,기아 셀토스,2022,1580~2460만원,2020
소형 SUV,기아 셀토스,2022,1580~2460만원,2020
소형 SUV,현대 코나,2025,2130~3020만원,2575
소형 SUV,현대 코나,2025,2130~3020만원,2575
소형 SUV,현대 코나,2023,1930~2230만원,2080
소형 SUV,현대 코나,2023,1930~2230만원,2080
소형 SUV,현대 코나,2020,1400~1850만원,1625
소형 SUV,현대 코나,2020,1400~1850만원,1625
소형 SUV,르노코리아 XM3,2024,1460~2160만원,1810
소형 SUV,르노코리아 XM3,2024,1460~2160만원,1810
